family,date,method,plan_cost_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,soc_start_kwh,soc_end_kwh
Q4-2,2025-07-26,m1,36420.75826366841,36420.75826366841,4725.904332733584,41146.66259640199,1652.840935980018,6000.0,6000.0
Q4-2,2025-07-27,m1,67518.17287376635,67518.17287376635,22603.28971356785,90121.4625873342,4367.3268691199855,6000.0,6000.0
Q4-2,2025-07-28,m1,67879.26898076091,67879.26898076091,25144.580890623547,93023.84987138446,4891.080432975639,6000.0,6000.0
Q4-2,2025-07-29,m1,68586.33039262681,68586.33039262681,16583.15361241797,85169.48400504478,3033.79520191593,6000.0,6000.0
Q4-2,2025-07-30,m1,68728.17184380592,68728.17184380592,18936.286664304032,87664.45850810995,3809.1660092897623,6000.0,6000.0
Q4-2,2025-07-31,m1,69052.49294050969,69052.49294050969,17745.80931156233,86798.30225207203,3193.1617457067605,6000.0,6000.0
Q4-2,2025-08-01,m1,38278.32253251194,38278.32253251194,1239.1088460247943,39517.431378536734,365.87548585423093,6000.0,6000.0
Q4-2,2025-08-02,m1,36177.93463731845,36177.93463731845,3095.372904867958,39273.30754218641,906.7556024632614,6000.0,6000.0
Q4-2,2025-08-03,m1,66845.01732333923,66845.01732333923,10601.939785863126,77446.95710920235,2050.4441200149786,6000.0,6000.0
Q4-2,2025-08-04,m1,65729.49715589618,65729.49715589618,8863.300160629475,74592.79731652566,2030.6694512968209,6000.0,6000.0
Q4-2,2025-08-05,m1,65495.87784915393,65495.87784915393,7964.015903617481,73459.8937527714,1822.2736349866404,6000.0,6000.0
Q4-2,2025-08-06,m1,64679.7982119231,64679.7982119231,20891.40089238915,85571.19910431225,4257.72505809287,6000.0,6000.0
Q4-2,2025-08-07,m1,64730.56370333716,64730.56370333716,12625.515140880423,77356.07884421758,2724.450460633736,6000.0,6000.0
Q4-2,2025-08-08,m1,36494.913836348016,36494.913836348016,1635.4712955748255,38130.38513192284,637.6978804237523,6000.0,6000.0
Q4-2,2025-08-09,m1,35049.5554293241,35049.5554293241,4769.017347587995,39818.57277691209,1687.55531814536,6000.0,6000.0
Q4-2,2025-08-10,m1,63094.08821681072,63094.08821681072,16479.33380617388,79573.4220229846,3361.160398720064,6000.0,6000.0
Q4-2,2025-08-11,m1,62816.75465389109,62816.75465389109,16406.924885356257,79223.67953924734,3484.4962918611845,6000.0,6000.0
Q4-2,2025-08-12,m1,63788.16366053004,63788.16366053004,18566.67072726215,82354.83438779219,3760.061907181005,6000.0,6000.0
Q4-2,2025-08-13,m1,63972.97987041972,63972.97987041972,11051.934974018346,75024.91484443806,2237.822059861075,6000.0,6000.0
Q4-2,2025-08-14,m1,63623.028258563,63623.028258563,22081.440318896133,85704.46857745913,4348.687973537203,6000.0,6000.0
Q4-2,2025-08-15,m1,36749.07358543104,36749.07358543104,3807.583246106135,40556.65683153718,1597.7711062621133,6000.0,6000.0
Q4-2,2025-08-16,m1,34922.56693141107,34922.56693141107,5282.559676179945,40205.12660759102,1647.9044244453376,6000.0,6000.0
Q4-2,2025-08-17,m1,63031.211064660354,63031.211064660354,16223.866936746483,79255.07800140683,3223.2896570243074,6000.0,6000.0
Q4-2,2025-08-18,m1,63808.80031748578,63808.80031748578,18304.940202400547,82113.74051988633,3527.6170656434306,6000.0,6000.0
Q4-2,2025-08-19,m1,63825.16502831345,63825.16502831345,12460.934568056067,76286.09959636952,2575.9862541673647,6000.0,6000.0
Q4-2,2025-08-20,m1,64164.927761779894,64164.927761779894,28290.19537291546,92455.12313469536,5556.445117859763,6000.0,6000.0
Q4-2,2025-08-21,m1,63892.09657434315,63892.09657434315,12474.625839458895,76366.72241380205,2506.6957661214788,6000.0,6000.0
Q4-2,2025-08-22,m1,36759.31415103626,36759.31415103626,3669.878261547283,40429.19241258354,1271.1198835090588,6000.0,6000.0
Q4-2,2025-08-23,m1,35136.280330877154,35136.280330877154,3716.6554032982904,38852.935734175444,1354.8765251685454,6000.0,6000.0
Q4-2,2025-08-24,m1,63302.747582705626,63302.747582705626,21432.00400214386,84734.7515848495,4361.703277333729,6000.0,6000.0
Q4-2,2025-08-25,m1,64725.59311093473,64725.59311093473,21257.116912285186,85982.71002321992,4441.884533504169,6000.0,6000.0
