date,method,plan_cost_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,mean_reserve_kw,soc_start_kwh,soc_end_kwh
2025-07-17,m1,46580.423684636735,46580.423684636735,22332.186667038488,68912.61035167522,4877.686360902481,0.0,1199.9999999999957,1199.999999999992
2025-07-18,m1,27414.929479534578,27414.929479534578,7364.5610980270485,34779.49057756163,2192.009944842031,0.0,1199.999999999992,1200.0000000000005
2025-07-19,m1,23827.53289589071,23827.53289589071,8395.43010917131,32222.963005062018,2555.3263176242754,0.0,1200.0000000000005,1200.0000000000043
2025-07-20,m1,46295.78980188358,46295.78980188358,15298.358402794,61594.14820467758,3618.3078546112433,0.0,1200.0000000000043,1199.9999999999966
2025-07-21,m1,46539.70530139464,46539.70530139464,19269.11826691943,65808.82356831408,4638.269601355385,0.0,1199.9999999999966,1199.9999999999945
2025-07-22,m1,48255.26783595198,48255.26783595198,12572.618070913635,60827.88590686562,3144.1082788713225,0.0,1199.9999999999945,1199.9999999999925
2025-07-23,m1,47044.54475119959,47044.54475119959,19976.621860744654,67021.16661194424,4464.501593869255,0.0,1199.9999999999925,1199.9999999999936
2025-07-24,m1,47429.468949799644,47429.468949799644,19152.421283506766,66581.89023330642,4617.277510184728,0.0,1199.9999999999936,1199.999999999997
2025-07-25,m1,27414.346359249434,27414.346359249434,3288.827933261184,30703.17429251062,1038.8319279578918,0.0,1199.999999999997,1199.9999999999998
2025-07-26,m1,24393.275478661453,24393.275478661453,6655.566375181681,31048.841853843136,2400.856317854121,0.0,1199.9999999999998,1199.9999999999952
2025-07-27,m1,46846.5507309214,46846.5507309214,20003.091880330016,66849.64261125142,4393.911579597072,0.0,1199.9999999999952,1199.9999999999936
2025-07-28,m1,47240.59234616362,47240.59234616362,27359.418736261912,74600.01108242554,6705.818552184323,0.0,1199.9999999999936,1199.999999999996
2025-07-29,m1,48077.782946395644,48077.782946395644,17884.37059391138,65962.15354030702,4350.044454496278,0.0,1199.999999999996,1199.9999999999955
2025-07-30,m1,47273.48123898267,47273.48123898267,19299.484352781965,66572.96559176463,4463.849604722563,0.0,1199.9999999999955,1199.9999999999973
2025-07-31,m1,48002.63643796441,48002.63643796441,17262.120134318862,65264.756572283266,3714.165854414409,0.0,1199.9999999999973,1199.999999999997
2025-08-01,m1,26453.277326941574,26453.277326941574,1394.0621587158325,27847.339485657405,435.0231243088173,0.0,1199.999999999997,1199.9999999999998
2025-08-02,m1,24690.22847512035,24690.22847512035,3977.1245545509614,28667.353029671314,1149.6436436197955,0.0,1199.9999999999998,1200.0000000000032
2025-08-03,m1,47029.08966974747,47029.08966974747,8914.784467688107,55943.874137435574,2050.4441200149777,0.0,1200.0000000000032,1199.999999999992
2025-08-04,m1,46415.70026989192,46415.70026989192,7714.697327466865,54130.39759735878,2030.6694512968204,0.0,1199.999999999992,1199.9999999999989
2025-08-05,m1,45622.593272664315,45622.593272664315,7076.40283962977,52698.99611229409,1852.8792484150918,0.0,1199.9999999999989,1199.9999999999948
2025-08-06,m1,44335.53867696829,44335.53867696829,18971.46966648791,63307.0083434562,4509.00612975279,0.0,1199.9999999999948,1199.9999999999966
2025-08-07,m1,44464.96139727574,44464.96139727574,10903.668981095176,55368.630378370915,2724.450460633736,0.0,1199.9999999999966,1199.9999999999982
2025-08-08,m1,25460.68302231838,25460.68302231838,2838.5914792507806,28299.274501569158,902.9423609801868,0.0,1199.9999999999982,1200.0000000000025
2025-08-09,m1,23277.139111489818,23277.139111489818,5603.380141670962,28880.51925316078,1787.9470387598574,0.0,1200.0000000000025,1199.999999999999
