date,method,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,soc_start_kwh,soc_end_kwh
2025-06-23,m1,43901.89068951948,13905.782689949996,57807.673379469474,3140.4290666666657,1199.9999999999986,1199.9999999999936
2025-06-24,m1,44252.42511609002,40454.367738675006,84706.79285476502,10526.863616666667,1199.9999999999936,1199.9999999999934
2025-06-25,m1,50119.92178053297,5529.529343683334,55649.4511242163,1432.2567333333327,1199.9999999999934,1200.0000000000025
2025-06-26,m1,45598.29598285276,9105.95016254167,54704.24614539443,2011.129066666667,1200.0000000000025,1200.0
2025-06-27,m1,44057.82827966966,0.0,44057.82827966966,0.0,1200.0,1199.9999999999939
2025-06-28,m1,17500.635235600923,11122.961038416663,28623.596274017586,3065.028933333332,1199.9999999999939,1199.9999999999982
2025-06-29,m1,17612.68920978315,165223.17454489166,182835.86375467482,40120.51965,1199.9999999999982,1200.0000000000007
2025-06-30,m1,44750.75564608653,16483.18596270833,61233.94160879486,4001.996183333332,1200.0000000000007,1199.9999999999952
2025-07-01,m1,45296.875889965086,39677.98153913334,84974.85742909843,10838.756650000003,1199.9999999999952,1199.9999999999952
2025-07-02,m1,51802.27928722923,5677.594841466662,57479.87412869589,1512.5266499999989,1199.9999999999952,1199.9999999999973
2025-07-03,m1,48055.19287069666,34171.09463056667,82226.28750126333,8344.15566666667,1199.9999999999973,1199.9999999999945
2025-07-04,m1,52697.557879144406,25.24621666666655,52722.80409581107,11.80833333333328,1199.9999999999945,1199.9999999999964
2025-07-05,m1,24190.109198781785,10329.263013075,34519.37221185678,3238.787066666667,1199.9999999999964,1200.0000000000016
2025-07-06,m1,24544.58351794623,177567.40477868333,202111.98829662957,41648.55338333333,1200.0000000000016,1200.0000000000018
2025-07-07,m1,53162.78654728431,4404.766363933332,57567.552911217645,1479.2903666666666,1200.0000000000018,1199.9999999999977
2025-07-08,m1,48252.846289315,24448.443143874996,72701.28943318999,5579.7502,1199.9999999999977,1199.9999999999957
